left_elbow_angle,right_elbow_angle,avg_elbow_angle,elbow_angle_diff,elbow_symmetry,wrist_x,wrist_y,wrist_z,wrist_x_normalized,wrist_y_position,shoulder_width,shoulder_mid_x,retraction_offset,retraction_normalized,alignment_score,has_flare,extreme_flare,avg_elbow_angle_squared,label,image_path
153.31792160154242,152.32387873330893,152.8209001674257,0.9940428682334925,99.34953735572526,0.4745717942714691,0.3334648311138153,-0.42597557604312897,0.01446115402068345,-0.13935929536819458,0.1208525811259309,0.4728241264820099,0.0,0.0,99.30598032166961,1,1,23354.22752798229,1,/Users/vihangaranaweera/Desktop/correct shoulder press/correct 2/ezgif-frame-017.jpg
165.19867831675094,166.97198291331787,166.08533061503442,1.7733045965669305,98.93229306284897,0.4702707827091217,0.28306522965431213,-0.4425540566444397,-0.0029266807760821244,-0.18755152821540833,0.11821417744845522,0.47061675786972046,0.0,0.0,99.48511680185712,1,1,27584.33704550529,1,/Users/vihangaranaweera/Desktop/correct shoulder press/correct 2/ezgif-frame-003.jpg
161.51809964248267,164.5513871719354,163.03474340720902,3.0332875294527355,98.1394839737463,0.4654320627450943,0.2899654507637024,-0.5418833494186401,-0.04314706924838659,-0.18067175149917603,0.12063715122386338,0.4706372022628784,0.0,0.0,97.96138151204693,1,1,26580.327557854485,1,/Users/vihangaranaweera/Desktop/correct shoulder press/correct 2/ezgif-frame-002.jpg
156.33361202966228,157.01542349484254,156.6745177622524,0.6818114651802603,99.56482300062677,0.4724406898021698,0.32606813311576843,-0.46614354848861694,-0.007783997504371304,-0.14733436703681946,0.12356252039880042,0.4734025001525879,0.0,0.0,99.59240927511958,1,1,24546.904516034345,1,/Users/vihangaranaweera/Desktop/correct shoulder press/correct 2/ezgif-frame-016.jpg
152.50878283709605,147.66777412478427,150.08827848094018,4.841008712311776,96.7745591052758,0.46181918680667877,0.35841408371925354,-0.33322031795978546,0.0007736642217921821,-0.10330957174301147,0.1234790775156441,0.461723655462265,0.0,0.0,98.68661371545656,1,1,22526.49133737225,1,/Users/vihangaranaweera/Desktop/correct shoulder press/correct 2/ezgif-frame-148.jpg
158.006334194486,159.96202541539267,158.98417980493934,1.9556912209066866,98.76988312717268,0.47606678307056427,0.30856379866600037,-0.4147084504365921,0.03408713245426668,-0.16344544291496277,0.11903440381924099,0.47200924158096313,0.0,0.0,98.48533927724107,1,1,25275.969428249282,1,/Users/vihangaranaweera/Desktop/correct shoulder press/correct 2/ezgif-frame-014.jpg
132.2477378693314,125.20766456631924,128.7277012178253,7.04007330301215,94.53103470627556,0.4767274409532547,0.42848077416419983,-0.27241868525743484,0.007147903418569957,-0.04731637239456177,0.13014926755672673,0.4757971465587616,0.0,0.0,97.59797677995313,1,1,16570.821060825703,1,/Users/vihangaranaweera/Desktop/correct shoulder press/correct 2/ezgif-frame-028.jpg
128.72718253873091,124.06992216785173,126.39855235329132,4.657260370879186,96.3154163681702,0.4757058620452881,0.4325794577598572,-0.28493911027908325,0.009562832164535625,-0.041890472173690796,0.12924331311843426,0.474469929933548,0.0,0.0,98.23928158233201,1,1,15976.594037007728,1,/Users/vihangaranaweera/Desktop/correct shoulder press/correct 2/ezgif-frame-029.jpg
157.91613960499757,159.311393860866,158.61376673293177,1.3952542558684229,99.12034479439751,0.4743415117263794,0.32130998373031616,-0.44286951422691345,0.023468350004883134,-0.1501624584197998,0.12225271805075565,0.47147244215011597,0.0,0.0,98.94408741761251,1,1,25158.326997208893,1,/Users/vihangaranaweera/Desktop/correct shoulder press/correct 2/ezgif-frame-015.jpg
159.53185501163028,162.06764976545162,160.79975238854095,2.5357947538213352,98.42301078443573,0.4661843925714493,0.29248741269111633,-0.5360949635505676,-0.03871855563422636,-0.17840518057346344,0.12160062832944486,0.4708925932645798,0.0,0.0,98.20764764474751,1,1,25856.56036821608,1,/Users/vihangaranaweera/Desktop/correct shoulder press/correct 2/ezgif-frame-001.jpg
149.65209458585375,146.61537420139786,148.1337343936258,3.03672038445589,97.95001429155454,0.45825888216495514,0.3668456971645355,-0.30000169575214386,-0.04470794639022083,-0.09711617231369019,0.1275609320878583,0.4639618694782257,0.0,0.0,97.8387673249152,1,1,21943.60326540127,1,/Users/vihangaranaweera/Desktop/correct shoulder press/correct 2/ezgif-frame-149.jpg
105.14235476528799,96.46376157856962,100.8030581719288,8.678593186718373,91.39054573928081,0.48184454441070557,0.5085642635822296,-0.42013944685459137,0.04542668206679655,0.032679155468940735,0.13118801607948782,0.4758851081132889,0.0,0.0,95.19341783370842,1,0,10161.256536813262,1,/Users/vihangaranaweera/Desktop/correct shoulder press/correct 2/ezgif-frame-039.jpg
166.65911501096173,171.70424936565848,169.1816821883101,5.045134354696756,97.0179192632207,0.46619221568107605,0.28834983706474304,-0.5801206529140472,-0.043772752924394635,-0.18316490948200226,0.12159461103263154,0.4715147465467453,0.0,0.0,97.49398511755645,1,1,28622.441588066366,1,/Users/vihangaranaweera/Desktop/correct shoulder press/correct 2/ezgif-frame-005.jpg
162.28171846544882,165.71723064976177,163.9994745576053,3.4355121843129552,97.90516878570472,0.47075535356998444,0.2925149202346802,-0.40769144892692566,-0.022354507693176047,-0.18088379502296448,0.11824736755294915,0.47339871525764465,0.0,0.0,98.4914322834866,1,1,26895.827655170633,1,/Users/vihangaranaweera/Desktop/correct shoulder press/correct 2/ezgif-frame-011.jpg
